court_id	docket_no	caption	media_url	media_size	counsel	issues	judges	argued	original_media_url
cafc	2004-5106	Local Oklahoma Bank, NA v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2004-5106.mp3					2006-02-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2004-5106.mp3
cafc	2005-1221	+BreckenRidge Pharma v Metabolite	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1221.mp3					2006-02-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1221.mp3
cafc	2005-3133	Fields v Justice	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3133.mp3					2006-02-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3133.mp3
cafc	2005-5127	Ragard v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5127.mp3					2006-02-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5127.mp3
cafc	2005-5127	Ragard v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5127.mp3					2006-02-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5127.mp3
cafc	2005-3133	Fields v Justice	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3133.mp3					2006-02-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3133.mp3
cafc	2005-1221	+BreckenRidge Pharma v Metabolite	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1221.mp3					2006-02-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1221.mp3
cafc	2005-3184	Griffiths v MSPB	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3184.mp3					2006-02-09	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3184.mp3
cafc	2005-1488	Fiber Optic Design  v Season Special	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1488.mp3					2006-02-09	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1488.mp3
cafc	2005-1488	Fiber Optic Design  v Season Special	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1488.mp3					2006-02-09	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1488.mp3
cafc	2005-3184	Griffiths v MSPB	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3184.mp3					2006-02-09	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3184.mp3
cafc	2005-1354	+Flex-Rest v Steelcase	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1354.mp3					2006-02-10	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1354.mp3
cafc	2005-7136	Kalin v DVA	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-7136.mp3					2006-02-10	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-7136.mp3
cafc	2005-1400	Caribbean Ispat Limited v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1400.mp3					2006-02-10	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1400.mp3
cafc	2005-1400	Caribbean Ispat Limited v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1400.mp3					2006-02-10	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1400.mp3
